Rating,Date Experienced,Review Title,Review
2,2023-12-13,Showers are cold,historically upkeep machine facility slow ok last month men shower lukewarm best know member noticed paying membership every month cold shower good enough let worry carbon footprint cost gone increase membership fee
1,2023-12-16,Puregym scam artists,joined local zero joining fee except local exempt charged £ joining fee ready train festive period local closed festive period due staff shortage company thay adverises day access yet access want closed make sence policy place manager abuse futher conversion manager team stayed u conversion transcript shared staff
1,2023-12-17,Absolute lack of respect with its customers!!!!!,almost week shut still received single email update proceed go like finsbury park nearest one hence joined local seven sister one keep coming check opened every day absolutely commitment keeping u loop maintenance carried try solve problem making think catch £ first month offer want u cancel membership gone £ month
2,2023-12-17,Dirty,dirty almost never cleaning staff enforce use towel bench full sweat hair gel handwash toilet urine excrement toilet time
1,2023-12-11,I don't recommend this gym at all,recommend time boiler broken still open staff never seen dated yet want charging £ flag ship central london standard nothing special see management interest standard definitely managed well
1,2023-12-15,Not worth the money,overpriced new clean small changing area upstairs shared everybody small locker shelf put stuff lock change either need use toilet changing cubicle like shop cross trainer treadmill also got closed due facility issue update reopen waste time money
1,2023-12-13,Do not go to PureGym,basford decent experience machine clearly old feel cluttered cramped amount people worst thing far scam resubmission fee make worse make impossible freeze account sort thing customer service hard get touch making thing even complicated would definitely advise people pick another
2,2023-12-14,PureGym -St George’s (Leicester),st george leicester member almost year location overtime declined significantly many order prolonged period time yanga water available almost week spoken staff helpdesk paying member good value money
1,2023-12-15,Regarding my previous review.,regarding previous review raised raised feedback raising issue forum get resolved nothing resolved forum along every channel feedback company comment still stand need resolving please send manager instead asking company
2,2023-12-11,Not the best,best first impression dark inside window barely mirror workout date generally clean compared puregyms lack diversity layout machine seems odd often seen people queuing machine prepared freestyle workout due lack added secondary personally worth extra £ p may suit dark uninspiring
1,2023-12-11,stole £50 and refused to refund,horrible customer service sneaky term condition took £ account refused refund even though cancelled membership used £ administration fee absurd shabby cheap always missing clamp bar dumbbell always wrong place accessibility customer support difficult find even found answer ai even understand asking another greedy company would recommend
2,2023-12-12,"Okay gym, awful classes",customer year pretty good well equipped job main review pt lead session either trained supported run class session trainer underprepared lead knowing exercise come next demotivated barely engaging customer going phone attentive attendee playing random music speaking paid sure great people realise luxury experience bare minimum thing gone unchanged better part year please better
1,2023-12-09,I wasn't going to write a review until…,going write review saw clearly fake star review far busiest ever witnessed like unsafe busy queue nearly machine someone waiting finish workout defined available side note many young teenager hangout socialising group even exercise anyone willing open alternative low cost franchise leamington spa warrick would make bank
1,2023-12-13,Booked Absolute Abs class from 1845 to…,booked absolute ab class th dec gone past time instructor present went enquired told class cancelled unprofessional dudley
2,2023-12-13,Overpriced,excited worth value new nicely built unfortunately overpriced appreciate welcome price thats catch final basic price £ constructed layout small expected much bigger space price much wasted space unorganised position machine missing kg dumbbell set free weight missing key machine biceps curl triceps press lat pulldown lateral raise calf press hack squat low amount cardio machine price good amount cable crossover good amount functional stuff deadlift rack could move use back side puregyms cheaper bigger area understand one high priced maybe access thats compensating issue mentioned really hope consider act advise lower price add stuff
1,2023-12-12,Long term member,long term member hr daughter went work arrived left got £ parking ticket car park open barrier etc used homebase mcdonalds reason looking small print see dark say parking reason restriction car park apart making money people use hour purgym make clear website parking available hour stated
1,2023-09-07,"not suitable for a white working class….racist undertones unwelcoming for white males ,SAD FACTS not opinions",suitable white working class male enter virtually marched management ridiculed abused h r said sorry offered £ pound discount shameful place ethnicity welcome sad sad place silver medalist gracie jujitsu fighter terrible experience would advise white person enter feel fact shameful place excellent welcoming professional suitable white people simple
2,2023-12-11,Scam when freezing membership,feel totally scammed accident workout month remember bill date mid december rushed freeze membership turn need around day earlier need pay month usual next freeze price help got annoyed tried cancel membership good even allow till bill date passed day make sure claim back bank believe trick app way basically anything subscription nowadays allow even cancel day bill date got money month last area price crowded probably dirty never see cleaning around also bloody cold try shower winter time
2,2023-12-13,Not as good,bit small side changing room male female big locker half already taken people keep stuff night pls take bag u leaving free locker still missing many machines… cleaning station sanitising spray clean sweaty bench really uncomfortable make feel bad use dirty bench covered sweat closed due unforeseen circumstance get email long reopen comparing one well
1,2023-12-12,the gym & class offer is basic,staff lovely basic offer class thin ground one biggest selling point free class line feature outside along wall yet maybe class day class always full increased number popular class reduced min class minute available basically paying monthly fee access treadmill weight much sell disappointing addition culture perpetuated young men also completely unacceptable place modern society woman feel safe able mind business sadly seem case one solution ‘female space zero tolerance policy led
2,2023-12-06,Freezing showers no repair in sight,shower broken freezing month never actually hot lady year + member sourcing alternative join need get clean training shame corporate care client staff andover lovely anything failure broken ablution wifi without corporate authority never forthcoming
1,2023-12-15,The gym is closed atm,closed atm closed yesterday pm today closed information going open explanation
1,2023-12-04,There never seems to be any hot water…,never seems hot water shower men changing room even lost shower assume due cost saving another issue stand cold changing room waiting available shower non less surely legal requirement provide certain level warms place open paying member public saving money refitting blocking three shower surely penny jar warmer air water
2,2023-12-17,Caution with PT's,fault clean good standard well maintained however take caution considering hiring one pt say due ongoing investigation regarding pt pt hired promised £ month session fitness plan could follow however delivered person session completely contradicted online session set diet plan completely needed supplement match watch stipulated told pt could take creatine yet diet plan heavily relied ended several injury result exercise set reason hired pt could recover injury among thing pt delivered booked session promised met th however count one cancelled booked one short notice rearranged time completely unsuitable even though attended completed half ended injury booked running session day another running session pt checked online session set ended able rest leg hear anything pt week surprised find pt charged another month direct debit set subscription agreement set pt asked whether wanted another month pt delivered one month worth session nearly week since money taken pt still book session even contact clearly never intended delivering session month tried contacting making aware situation pt still operating issue still resolved really heard anyone beyond odd email state aware sort publicly shame prepared give time resolve issue however heard anything much choice
2,2023-12-10,"Poor gym etiquette, Norwich Aylsham Road",okay could benefit extra leg machine e g hack squat better calf raise machine e g standing straight leg locker outside changing room annoying start got used couple month biggest issue fact always plate people bother putting weight back large number norwich including castle mall city country never seen bad culture really poor management need something way encourage remind positive responsible behaviour lot people zero respect place people using said done imagine young sister grand mother joining able use half machine got kg plate cannot remove safely really really poor
1,2023-12-14,Cancelling membership is scam,make impossible cancel membership click cancel membership button link information process cancelling membership link tell go cancel membership button came told follow instruction go press button say follow instruction press button tell follow instruction press button tell follow instruction press button
1,2023-12-11,It’s gross,gross coming awful today day thought leaving fact chatham one closest around every machine used snotty tissue bottle left chocolate wrapper used cotton ear bud gross mention get one part heating full blast always hot give motivation stay sweaty body enough let alone heat shame
1,2023-12-04,"Smelly showers, busy gym",smelly shower manager touch client inappropriately train shift full teenager rattle maintained ceiling leak regularly heavy rain
1,2023-12-07,So much for requiring members to be…,much requiring member place run year old hogging school anyone check… update response comment seriously expect tell manager job take genius spot culprit expected risk life limb ratting give head date time er…everyday school… duh🤦🤦
2,2023-11-29,Well equipped gym and PT service and…,well equipped pt service competitive rate however recent week feel like forgotten turn heating walnut street leicester put training week freezing unbelievably air con woman changing room hot water either finger went numb could grip weight leave come need offer better basic facility temp absence hot water even legal h
1,2023-11-27,Lake of classes,joined october mid november work started improve good thing however mean last week november till seems like mid december class reason joined class date one able tell class resume think least done keep member informed see paying membership attend providing class yes know go another however necessarily convenient offer class want time edgware class
1,2023-12-06,I am absolutely furious about the…,absolutely furious situation today ieva vasiliauskaite assistant manager shift entire day walked changing room find biohazard urine floor shockingly ieva saw chose ignore issue casually walked beyond comprehension someone managerial role responsible maintaining clean safe environment would neglect basic responsibility question given position clearly lack basic competence needed job negligence unprofessional serious health risk fact could blatantly disregard blatant problem infuriating demand immediate action
2,2023-12-03,Very inconsistent with classes,inconsistent class instructor good lesser people class sometimes even notify advance great class pilate bayswater really need get better instructor class
2,2023-11-19,I didn't even get to join,even get join emailed week ago arrange view popped rang bell one answered wanted check joined majority working equiptment clean wanted enquire pt reply negative review left reply managent seemed look imporntant issue raised reassure well managed sadly try another reply tell get touch actually address issue already got touch th ignored
1,2023-12-05,Dodgy gym,shower cold shower door close dirty shower clue staff checking check machine knackered fixed west one branch basically shady shoddy
