Rating,Date Experienced,Review Title,Review,Dominant Emotion,Confidence Score
2,2023-12-13,Showers are cold,historically upkeep machine facility slow ok last month men shower lukewarm best know member notice pay membership every month cold shower good enough let worry carbon footprint cost go increase membership fee,sadness,0.5363051295280457
1,2023-12-16,Puregym scam artists,joined local zero join fee except local exempt charge £ join fee ready train festive period local close festive period due staff shortage company thay adverises day access yet access want close make sence policy place manager abuse futher conversion manager team stay u conversion transcript share staff,sadness,0.5701318383216858
1,2023-12-17,Absolute lack of respect with its customers!!!!!,almost week shut still receive single email update proceed go like finsbury park near one hence join local seven sister one keep come check open every day absolutely commitment keep u loop maintenance carry try solve problem make think catch £ first month offer want u cancel membership go £ month,sadness,0.6004964113235474
2,2023-12-17,Dirty,dirty almost never cleaning staff enforce use towel bench full sweat hair gel handwash toilet urine excrement toilet time,disgust,0.943676769733429
1,2023-12-11,I don't recommend this gym at all,recommend time boiler broken still open staff never see date yet want charge £ flag ship central london standard nothing special see management interest standard definitely manage well,neutral,0.6811567544937134
1,2023-12-15,Not worth the money,overprice new clean small change area upstairs share everybody small locker shelf put stuff lock change either need use toilet change cubicle like shop cross trainer treadmill also get closed due facility issue update reopen waste time money,sadness,0.41713523864746094
1,2023-12-13,Do not go to PureGym,basford decent experience machine clearly old feel clutter cramped amount people worst thing far scam resubmission fee make bad make impossible freeze account sort thing customer service hard get touch make thing even complicate would definitely advise people pick another,sadness,0.704782247543335
2,2023-12-14,PureGym -St George’s (Leicester),st george leicester member almost year location overtime decline significantly many order prolong period time yanga water available almost week spoken staff helpdesk pay member good value money,sadness,0.5146737694740295
1,2023-12-15,Regarding my previous review.,regard previous review raise raise feedback raise issue forum get resolve nothing resolve forum along every channel feedback company comment still stand need resolve please send manager instead ask company,neutral,0.8049498200416565
2,2023-12-11,Not the best,best first impression dark inside window barely mirror workout date generally clean compare puregyms lack diversity layout machine seem odd often see people queue machine prepare freestyle workout due lack add secondary personally worth extra £ p may suit dark uninspiring,surprise,0.44334977865219116
1,2023-12-11,stole £50 and refused to refund,horrible customer service sneaky term condition take £ account refuse refund even though cancelled membership use £ administration fee absurd shabby cheap always miss clamp bar dumbbell always wrong place accessibility customer support difficult find even find answer ai even understand ask another greedy company would recommend,fear,0.9091444611549377
2,2023-12-12,"Okay gym, awful classes",customer year pretty good well equipped job main review pt lead session either train supported run class session trainer underprepared lead know exercise come next demotivated barely engage customer go phone attentive attendee play random music speaking pay sure great people realise luxury experience bare minimum thing go unchanged well part year please well,joy,0.6564463376998901
1,2023-12-09,I wasn't going to write a review until…,go write review saw clearly fake star review far busy ever witness like unsafe busy queue nearly machine someone wait finish workout define available side note many young teenager hangout socialise group even exercise anyone willing open alternative low cost franchise leamington spa warrick would make bank,fear,0.8544053435325623
1,2023-12-13,Booked Absolute Abs class from 1845 to…,book absolute ab class th dec go past time instructor present go enquired told class cancel unprofessional dudley,sadness,0.7286953330039978
