Rating,Date Experienced,Review Title,Review,Generated Topics,Extracted Topics
2,2023-12-13,Showers are cold,historically the upkeep of the machines/facilities has been slow but ok. in the last 2-3 months the mens showers have been lukewarm at best. i know other members have noticed this.  paying a membership every month for a cold shower is not good enough.  let me worry about my carbon footprint. if the cost has gone up increases the membership fee.," 

1. upkeep of machines/facilities
2. mens showers
3. membership fee increase",upkeep of machines/facilities | mens showers | membership fee increase
1,2023-12-16,Puregym scam artists,"joined my local puregym when the zero joining fee was on except my local gym was exempt from it and i was charged £15 joining fee. was ready to train over the festive period but i cant do that as my local puregym is closed through out the festive period due to staff shortage... a company thay adverises itself as 24/7 365 days access yet i can not access it when i want because its closed. makes no sence having a policy in place if managers just abuse it. futher more my conversion with the manager team should have stayed between us, our conversion transcript shouldnt have been shared with the staff."," this is a scam. 

1. Joining fee issue.
2. Gym closure issue.
3. Conversion policy issue.",Joining fee issue. | Gym closure issue. | Conversion policy issue.
1,2023-12-17,Absolute lack of respect with its customers!!!!!,almost a week with the gym shut and we still haven’t received a single email with an update on how to proceed. i can’t go to any other gyms like (finsbury park) being the nearest one - hence why i joined my local in seven sisters and not the other ones. i have to keep coming to check if the gym is re-opened every day because they have absolutely no commitment in keeping us in the loop. there’s no maintenance being carried out to try to solve the problem. it’s making me think that all this was a catch the £16.99 for the first 6 months offer - and they want us to cancel our membership which has now gone up to £24.99 a month.," i’m not sure if i’ll ever get my money back. 

1. gym shut for almost a week.
2. i joined",gym shut for almost a week. | i joined
1,2023-12-11,I don't recommend this gym at all,"i dont recommend this gym at all, there a time the boilers was broken down and they still had it open! no staff never to be seen in this gym! equipment out dated yet they want to be charging £22.99 as if they are a flag ship gym in central london! its a standard gym nothing special can see the management have no interest in the standards of this gym and it definitely not being managed well."," 
1. bad equipment 
2. no staff 
3. bad management  


",bad equipment | no staff | bad management
1,2023-12-15,Not worth the money,overpriced. its a new gym and very clean but very small. there is a changing area upstairs shared between everybody. there are about 20 small lockers at the most and some shelves to put stuff on but you cant lock it. to change you either need to use toilets or changing cubicles like in shops. there are only 2 cross trainers and about 6 treadmills. also the gym got closed due to facilities issues and there isnt any update on when it will reopen so waste of time and money.," 
1. gym size.
2. facilities issues.
3. reopen date.",gym size. | facilities issues. | reopen date.
1,2023-12-13,Do not go to PureGym,"(basford) it is a decent gym experience but the machines are clearly very old. it feels cluttered and cramped because of the amount of people. the worst thing by far is the scam that is the resubmission fee. and what makes it worse is that they make it impossible to freeze your account and sort things out. the customer service is hard to get in touch with, making things even more complicated. i would definitely advise people to pick another gym."," 
1. machines are old 
2. people are too many 
3. scam and hard to deal with cs 
4. people are too",machines are old | people are too many | scam and hard to deal with cs
2,2023-12-14,PureGym -St George’s (Leicester),"puregym -st george’s (leicester). been a member for almost 6 years. this location, overtime, has declined significantly. many equipment are out of order for a prolonged period of time and the yanga water not available for almost 2 weeks. spoken to staff at the gym and helpdesk. as a paying member it’s not good value for money!"," 

1. equipment is out of order.
2. water not available.
3. bad value for money.",equipment is out of order. | water not available. | bad value for money.
2,2023-12-11,Not the best,"not the best: first impression was how dark it is inside, there are no windows and barely any mirrors. 3 workouts here to date: it is generally clean but compared with other puregyms the equipment lacks diversity and the layout of machines seems odd. ive often seen people queuing for machines so be prepared to ""freestyle"" your workout due to lack of equipment. ive added this gym on as my secondary gym but personally its not worth the extra £4 p/m. may suit some, but for me its dark and uninspiring."," 

1. dark 2. lack of equipment 3. uninspiring",dark | lack of equipment | uninspiring
1,2023-12-11,stole £50 and refused to refund,horrible customer service and sneaky terms of conditions. took £50 out of my account and refused to refund even though i had cancelled the membership and not used it. £20 of administration fees is absurd for such a shabby and cheap gym. always missing equipment such as clamps and bars. dumbbells always in wrong places. accessibility to customer support is difficult to find and even when found you are answers by an ai which didn’t even understand what you are asking. just another greedy company i would not recommend.,"
1. bad customer service  
2. expensive fees  
3. missing equipment",bad customer service | expensive fees | missing equipment
2,2023-12-12,"Okay gym, awful classes","ive been a customer here for over a year now, and the gym is pretty good, well equipped and does the job. my main review is for the pts who lead the sessions - either theyre not trained or shouldnt be supported to run classes. sessions where the trainer is 1) underprepared to lead (not knowing what exercises come next), 2) demotivated (barely engaging with customers / going on phones), and 3) not being attentive to attendees (playing random music / not speaking) should not be paid for. im sure that theyre great people and i realise that this isnt a luxury gym experience - but these are some bare minimum things that have gone unchanged for the better part of a year. please do better, puregym!"," 

1) bad leadership 2) bad customer service 3) lack of training",bad leadership | bad customer service | lack of training
1,2023-12-13,Booked Absolute Abs class from 1845 to…,"booked absolute abs class from 1845 to 1915 on 13th dec 2023 , its gone past time and no instructor was present ,  when i went and enquired - i was told that class was cancelled. 100% unprofessional. this is at puregym dudley!","  i would never recommend this gym to anyone.  i would advise anyone to go to puregym dartford instead. 

1. P",P
